rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/approx_kl,train/entropy_loss,train/n_updates,train/loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/std,train/value_loss,train/learning_rate,train/clip_range
197.89477321999996,498.08,371,344064,42,925,0.023618974,-17.418588322401046,410,3.034503221511841,0.283349609375,0.8379274606704712,-0.04548818808980286,1.0335360765457153,7.281493228673935,0.0003,0.2
218.83676849999995,537.65,375,352256,43,938,0.01982387,-17.4378913462162,420,3.3252265453338623,0.24443359375,0.8138891458511353,-0.04348669435021293,1.0357810258865356,9.603220549225806,0.0003,0.2
235.67688107,568.1,378,360448,44,951,0.02142321,-17.443971818685533,430,2.9941036701202393,0.26849365234375,0.7930669188499451,-0.0444778908189619,1.0362863540649414,7.286309307813644,0.0003,0.2
238.65984913,570.01,382,368640,45,964,0.020368788,-17.442839699983598,440,2.94775390625,0.22855224609375,0.8653848767280579,-0.043205196104827336,1.0356734991073608,8.045915012061595,0.0003,0.2
258.73085972999996,608.36,385,376832,46,976,0.018676586,-17.441341471672057,450,3.7381274700164795,0.229248046875,0.8496200442314148,-0.04217108738594107,1.0361768007278442,10.076962430775165,0.0003,0.2
277.25626630000005,646.13,389,385024,47,989,0.029116344,-17.453076553344726,460,1.468725323677063,0.32120361328125,0.7871869206428528,-0.04659791215526639,1.037614345550537,4.938662345707416,0.0003,0.2
298.43575243,686.38,392,393216,48,1002,0.023389097,-17.480548089742662,470,2.105135440826416,0.27520751953125,0.7590484619140625,-0.03939345036924351,1.0403255224227905,6.187078028172254,0.0003,0.2
313.37938081000004,712.26,395,401408,49,1015,0.029274765,-17.526753890514374,480,1.5355437994003296,0.318603515625,0.8437397480010986,-0.047175693176905044,1.0448235273361206,3.575383751839399,0.0003,0.2
316.63014225,713.34,398,409600,50,1028,0.019979116,-17.570528036355974,490,2.2363057136535645,0.23846435546875,0.7113600969314575,-0.03834411759016802,1.0481829643249512,6.2444637104868885,0.0003,0.2
331.66937587,740.84,401,417792,51,1041,0.023667771,-17.622193068265915,500,1.8757092952728271,0.26297607421875,0.80763840675354,-0.03996898327386589,1.0524245500564575,5.072537951171398,0.0003,0.2
333.28519583,741.92,404,425984,52,1053,0.028675508,-17.65818743109703,510,0.956385612487793,0.30216064453125,0.8078401684761047,-0.04177105886628851,1.05546236038208,3.4705457367002963,0.0003,0.2
340.64944921999995,751.23,406,434176,53,1067,0.019547377,-17.68695456981659,520,2.677000045776367,0.22625732421875,0.8254342079162598,-0.03921607208467322,1.0587304830551147,5.056751383841037,0.0003,0.2
357.58737539000003,780.77,409,442368,54,1080,0.019692238,-17.70236493945122,530,1.760600209236145,0.24451904296875,0.8401451706886292,-0.03776410956197651,1.0585500001907349,4.699453008174896,0.0003,0.2
377.47030482,818.08,412,450560,55,1092,0.02534894,-17.695663392543793,540,0.9912336468696594,0.27132568359375,0.8162816166877747,-0.040229453194478994,1.0593047142028809,3.150124840810895,0.0003,0.2
382.81554792000003,822.36,414,458752,56,1105,0.033690903,-17.751137393712998,550,0.8697556257247925,0.35430908203125,0.8387826085090637,-0.043001521885889814,1.0648645162582397,2.7354776602238418,0.0003,0.2
384.9771948099999,819.89,417,466944,57,1118,0.022893358,-17.802417558431625,560,1.180914044380188,0.257275390625,0.7076976299285889,-0.03565068127791164,1.0690151453018188,3.466049901768565,0.0003,0.2
391.99540569000004,827.77,420,475136,58,1130,0.021431576,-17.84793640971184,570,1.1455061435699463,0.242822265625,0.811149001121521,-0.03743042203350342,1.0729457139968872,3.525447065010667,0.0003,0.2
392.5667281699999,821.03,422,483328,59,1143,0.030210663,-17.89799671769142,580,0.8656598925590515,0.30950927734375,0.8589527606964111,-0.037533080187859016,1.077844262123108,3.680806778743863,0.0003,0.2
406.4189748299999,843.78,425,491520,60,1156,0.030257821,-17.933675867319106,590,0.9945003986358643,0.3133056640625,0.8182379603385925,-0.04246509797449107,1.0807965993881226,2.872882363200188,0.0003,0.2
401.87794300999997,827.66,427,499712,61,1168,0.0265266,-17.9790170609951,600,0.7010016441345215,0.26163330078125,0.7855183482170105,-0.03195540619053645,1.084937572479248,2.5271924432367086,0.0003,0.2
416.94201425,851.79,430,507904,62,1181,0.021041222,-18.0288449883461,610,1.192840814590454,0.24171142578125,0.8528977632522583,-0.034870873564796054,1.0901374816894531,3.4542272977530954,0.0003,0.2
425.80790329,862.91,432,516096,63,1193,0.03793315,-18.079043328762054,620,0.45290055871009827,0.35975341796875,0.5804146528244019,-0.038702330898377116,1.093544363975525,2.0082406103610992,0.0003,0.2
417.83196245000005,842.77,434,524288,64,1206,0.030591274,-18.1059406042099,630,0.549653947353363,0.30042724609375,0.8560177087783813,-0.040460175958651236,1.0952754020690918,1.9192569710314273,0.0003,0.2
419.96133533,841.22,436,532480,65,1218,0.011449903,-18.122116273641588,640,1.607096552848816,0.13885498046875,0.8548563122749329,-0.029464771719358396,1.0980188846588135,6.266536477953196,0.0003,0.2
420.35576535,836.93,438,540672,66,1231,0.017500972,-18.165877443552017,650,1.1686856746673584,0.1799560546875,0.8677617907524109,-0.0351137702644337,1.101382851600647,3.638308549299836,0.0003,0.2
424.54158262,838.28,440,548864,67,1244,0.015795048,-18.191728276014327,660,3.6113839149475098,0.18619384765625,0.8346636891365051,-0.03547709462727653,1.1041043996810913,5.37125488743186,0.0003,0.2
412.5965077099999,810.39,442,557056,68,1257,0.018020185,-18.203894078731537,670,1.2320667505264282,0.226806640625,0.8437660932540894,-0.033924331507296304,1.1048909425735474,4.006615053117275,0.0003,0.2
413.22632823000015,809.73,444,565248,69,1270,0.014479777,-18.215512108802795,680,2.6043074131011963,0.16380615234375,0.8820006251335144,-0.034724236009060404,1.1063086986541748,6.377410314977169,0.0003,0.2
407.95413619,795.99,446,573440,70,1282,0.022848187,-18.231977695226668,690,2.2329647541046143,0.248828125,0.8584885597229004,-0.037082665594061835,1.10639488697052,4.863172144442797,0.0003,0.2
399.91329725,775.51,448,581632,71,1296,0.012967475,-18.24058471918106,700,5.124790668487549,0.14866943359375,0.880398690700531,-0.03152864779112861,1.1089231967926025,11.612020951509475,0.0003,0.2
390.98051869000005,754.77,450,589824,72,1308,0.018149946,-18.261778908967973,710,2.1549415588378906,0.20989990234375,0.838789701461792,-0.039078278992383274,1.1102434396743774,6.687954849004745,0.0003,0.2
400.6511271,768.13,452,598016,73,1321,0.020828597,-18.27874686717987,720,2.221813917160034,0.23660888671875,0.9073209762573242,-0.04161732896027388,1.1126567125320435,5.038925925642252,0.0003,0.2
388.29329644000006,742.75,454,606208,74,1334,0.023220573,-18.30005392432213,730,1.6838555335998535,0.25361328125,0.8635814189910889,-0.03908579510025447,1.113097071647644,5.071862325817347,0.0003,0.2
394.42548755,750.31,456,614400,75,1347,0.017242283,-18.305877578258514,740,2.160243272781372,0.2172119140625,0.8997480273246765,-0.038011933652160226,1.11516535282135,6.889906048029661,0.0003,0.2
396.9310805900001,752.06,457,622592,76,1359,0.026700448,-18.355171430110932,750,2.2175838947296143,0.27705078125,0.8765755891799927,-0.039539488147420344,1.120084285736084,4.761436571925879,0.0003,0.2
407.35400874,767.32,459,630784,77,1372,0.029188544,-18.37862440943718,760,1.75910484790802,0.3036376953125,0.8122734427452087,-0.03804385761759477,1.1212745904922485,4.259007248282432,0.0003,0.2
416.0247771500001,776.56,461,638976,78,1384,0.018446581,-18.41699543595314,770,2.479099750518799,0.2257568359375,0.8952006697654724,-0.03636817918813904,1.12567138671875,6.682759983837604,0.0003,0.2
409.72219659999996,759.77,463,647168,79,1397,0.04551266,-18.472164791822433,780,0.7174979448318481,0.40831298828125,0.7291684150695801,-0.03602842849068111,1.1307932138442993,3.302077616751194,0.0003,0.2
413.1400501799999,764.22,464,655360,80,1410,0.016143184,-18.51532933115959,790,1.9257478713989258,0.21778564453125,0.8920937180519104,-0.03423802386969328,1.1358091831207275,6.19749768525362,0.0003,0.2
407.75515179999996,753.57,466,663552,81,1422,0.018139385,-18.547825515270233,800,1.964697003364563,0.2062255859375,0.8856186270713806,-0.03745765752901207,1.1377346515655518,5.938395054638386,0.0003,0.2
