time/fps,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/value_loss,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_fraction,train/loss,train/policy_gradient_loss,train/std,train/learning_rate,train/clip_range,train/n_updates
361,838,37,303104,350.93,129.70669249,15.384436848759652,0.8222619295120239,-17.247801142930985,0.017638244,0.2146728515625,6.489835262298584,-0.045230832027300494,1.0193756818771362,0.0003,0.2,360
365,851,38,311296,375.6,141.84658515,11.717446564137935,0.8599853515625,-17.258806937932967,0.01952573,0.23453369140625,6.62086296081543,-0.04730511250236304,1.019945740699768,0.0003,0.2,370
369,865,39,319488,384.16,147.65093932000002,12.04240075200796,0.8610355854034424,-17.269030517339708,0.018652475,0.22843017578125,5.070853233337402,-0.04685516923782416,1.0210720300674438,0.0003,0.2,380
372,878,40,327680,422.15,165.64129412000003,11.781185983121395,0.8312878608703613,-17.288885897397996,0.019852294,0.23118896484375,4.455362796783447,-0.044449493804131636,1.0223861932754517,0.0003,0.2,390
376,891,41,335872,453.23,183.21653874,8.104935224354268,0.791540801525116,-17.300330674648286,0.025929652,0.28580322265625,3.342376708984375,-0.04708288856127183,1.0239137411117554,0.0003,0.2,400
380,904,42,344064,494.68,201.91941217000004,7.964694112539291,0.8536654710769653,-17.307475984096527,0.020858016,0.2518310546875,4.384870529174805,-0.04615503841196187,1.0241564512252808,0.0003,0.2,410
384,917,43,352256,530.28,220.07867697999998,8.338082319498062,0.8631585240364075,-17.324315512180327,0.021185318,0.26832275390625,3.323441743850708,-0.0459539344010409,1.0266311168670654,0.0003,0.2,420
387,930,44,360448,565.42,237.93394028999995,11.896054561436177,0.8076921105384827,-17.335978090763092,0.018057741,0.21776123046875,6.144401550292969,-0.043140988248342185,1.0266222953796387,0.0003,0.2,430
390,943,45,368640,610.47,260.65201653,4.247669652104378,0.837841808795929,-17.362609976530074,0.029920973,0.32579345703125,1.6534301042556763,-0.04492993044186733,1.0298269987106323,0.0003,0.2,440
394,955,46,376832,642.47,278.00765189000003,4.255883030593395,0.8557993173599243,-17.388036221265793,0.026214069,0.29844970703125,1.2449027299880981,-0.04413571614204557,1.0312217473983765,0.0003,0.2,450
397,968,47,385024,682.97,299.17139592,5.577793353796006,0.8163263201713562,-17.410313218832016,0.025088437,0.27310791015625,2.9645235538482666,-0.03992427154298639,1.033673882484436,0.0003,0.2,460
400,981,48,393216,708.83,313.07880861,5.2783120222389694,0.8364927768707275,-17.45385797023773,0.022881499,0.26427001953125,2.0557384490966797,-0.04025048187759239,1.038256287574768,0.0003,0.2,470
403,994,49,401408,726.83,323.08828291,3.8339811570942404,0.8658179640769958,-17.46079934835434,0.02506702,0.28876953125,1.2942253351211548,-0.04451021550194127,1.0375112295150757,0.0003,0.2,480
406,1007,50,409600,749.61,335.84940869999997,5.5840479649603365,0.7865944504737854,-17.478452986478807,0.018824581,0.23372802734375,2.31546950340271,-0.03912992002005922,1.0394766330718994,0.0003,0.2,490
409,1019,51,417792,773.02,348.85801445,2.2007585309445856,0.7527042031288147,-17.51218510866165,0.04216322,0.41123046875,1.1798691749572754,-0.04375216839034692,1.0431286096572876,0.0003,0.2,500
412,1032,52,425984,787.15,357.40184496,2.6869395934045315,0.7200901508331299,-17.565039920806885,0.02624007,0.2830322265625,0.8816629648208618,-0.034613224442000504,1.0474861860275269,0.0003,0.2,510
415,1044,53,434176,824.98,378.4090751099999,3.066902109608054,0.5724949836730957,-17.62671285867691,0.024921935,0.262451171875,0.6124144792556763,-0.031561573917133504,1.0537813901901245,0.0003,0.2,520
418,1057,54,442368,817.48,377.85706758,1.7250792931765317,0.22522664070129395,-17.715977197885515,0.044474006,0.4394287109375,0.524709939956665,-0.05701573068072321,1.0611768960952759,0.0003,0.2,530
420,1070,55,450560,826.92,384.038413,4.947658117860556,0.7746973633766174,-17.74789892435074,0.010964878,0.1526611328125,1.7662160396575928,-0.027840914866828825,1.0645073652267456,0.0003,0.2,540
423,1083,56,458752,816.58,380.93147167999996,3.4360166590660812,0.8531815409660339,-17.778039944171905,0.01424157,0.1717529296875,1.0377439260482788,-0.03569963958798326,1.0663751363754272,0.0003,0.2,550
425,1096,57,466944,820.82,385.26176605000006,5.7067908063530925,0.8735960721969604,-17.808590883016585,0.011972228,0.12833251953125,1.8801159858703613,-0.030148474773886845,1.0701755285263062,0.0003,0.2,560
428,1108,58,475136,817.95,386.27835995000004,5.543965311348439,0.8498835563659668,-17.833105158805846,0.01382152,0.1547607421875,3.0863986015319824,-0.03435514488228364,1.0708954334259033,0.0003,0.2,570
430,1121,59,483328,799.56,382.06900416999997,6.056196263432502,0.8345935940742493,-17.847114288806914,0.012750898,0.14395751953125,2.3989012241363525,-0.03085198806547851,1.0726650953292847,0.0003,0.2,580
433,1135,60,491520,770.48,370.64547919000006,6.900549387186766,0.8627009987831116,-17.866744351387023,0.01297314,0.1388916015625,2.8005599975585938,-0.032283866858051624,1.073705792427063,0.0003,0.2,590
435,1147,61,499712,728.75,351.98699134999987,7.893028023838997,0.8405618071556091,-17.882823127508164,0.012480192,0.132958984375,4.078273296356201,-0.029397908852843102,1.0761245489120483,0.0003,0.2,600
437,1160,62,507904,688.6,333.78125237000006,8.141306605935096,0.8775829672813416,-17.91285662651062,0.012854049,0.15067138671875,2.7535154819488525,-0.03233313854871085,1.0796478986740112,0.0003,0.2,610
439,1173,63,516096,701.11,342.3377230099999,8.975695948302747,0.9000169038772583,-17.948984372615815,0.013890441,0.16732177734375,4.312259674072266,-0.03774192100026994,1.0820809602737427,0.0003,0.2,620
441,1186,64,524288,699.82,343.9794572,3.583922929689288,0.9150313138961792,-17.955418831110002,0.024337158,0.253369140625,1.315598487854004,-0.041878568540414565,1.0818248987197876,0.0003,0.2,630
443,1199,65,532480,710.44,351.72619439000005,5.322819642722607,0.8534315824508667,-17.977508020401,0.017724652,0.2251953125,2.9356606006622314,-0.0370706714973494,1.0839111804962158,0.0003,0.2,640
446,1211,66,540672,704.71,350.47701266999997,7.926890288293362,0.8183095455169678,-17.978857380151748,0.017440226,0.20882568359375,2.1060891151428223,-0.03805501589231426,1.0846763849258423,0.0003,0.2,650
448,1224,67,548864,720.0,360.79384628,5.163568164408207,0.864484429359436,-17.99679228067398,0.02077265,0.25076904296875,1.8311353921890259,-0.04005095222964883,1.0852525234222412,0.0003,0.2,660
450,1237,68,557056,723.59,363.20101288999996,4.346727279573679,0.8923925161361694,-18.015005642175673,0.025930587,0.28656005859375,0.9046697616577148,-0.04090319680108223,1.088599443435669,0.0003,0.2,670
452,1249,69,565248,733.71,370.41160340000005,6.396732103079557,0.9023509621620178,-18.048569405078887,0.019742347,0.23824462890625,2.4114797115325928,-0.039048754142277174,1.0906851291656494,0.0003,0.2,680
454,1262,70,573440,761.55,387.46464877,5.176658090949059,0.8427618145942688,-18.08893152475357,0.021444805,0.27237548828125,2.6008105278015137,-0.037176693135552344,1.0954762697219849,0.0003,0.2,690
455,1275,71,581632,798.49,407.91690524999996,2.528844328224659,0.8312638998031616,-18.142385548353197,0.042944707,0.41707763671875,0.7739219665527344,-0.046162491702853005,1.0997742414474487,0.0003,0.2,700
