fault_type,severity,seed,baseline_vel,recovery_time_s,post_fault_distance_m,post_fault_steps_survived,fell
joint_lock,1.0,8,0.5564837480610468,0.016666666666666666,1.1100279073568935,300,False
joint_lock,1.0,9,0.5564837480610468,0.016666666666666666,3.2271294594360977,300,False
joint_lock,1.0,10,0.5564837480610468,0.016666666666666666,2.471313187241777,300,False
joint_lock,1.0,11,0.5564837480610468,0.016666666666666666,3.184616397808951,300,False
joint_lock,1.0,12,0.5564837480610468,0.016666666666666666,1.8724248804869463,300,False
joint_lock,1.0,13,0.5564837480610468,0.23333333333333334,1.7947975845615827,300,False
joint_lock,1.0,14,0.5564837480610468,0.016666666666666666,3.184616397808951,300,False
joint_lock,1.0,15,0.5564837480610468,0.03333333333333333,1.2238562120023642,300,False
joint_lock,1.0,16,0.5564837480610468,0.016666666666666666,2.375621327253195,300,False
joint_lock,1.0,17,0.5564837480610468,0.016666666666666666,1.1100279073568935,300,False
joint_lock,1.0,18,0.5564837480610468,0.23333333333333334,1.7947975845615827,300,False
joint_lock,1.0,19,0.5564837480610468,0.016666666666666666,1.8724248804869463,300,False
joint_lock,1.0,20,0.5564837480610468,0.23333333333333334,1.7947975845615827,300,False
joint_lock,1.0,21,0.5564837480610468,0.016666666666666666,2.9094106594070106,300,False
joint_lock,1.0,22,0.5564837480610468,0.016666666666666666,2.471313187241777,300,False
joint_lock,1.0,23,0.5564837480610468,0.016666666666666666,2.6657289815595857,300,False
joint_lock,1.0,24,0.5564837480610468,0.016666666666666666,2.931187934393867,300,False
joint_lock,1.0,25,0.5564837480610468,0.016666666666666666,2.375621327253195,300,False
joint_lock,1.0,26,0.5564837480610468,0.23333333333333334,1.7947975845615827,300,False
joint_lock,1.0,27,0.5564837480610468,0.016666666666666666,2.6657289815595857,300,False
joint_lock,1.0,28,0.5564837480610468,0.016666666666666666,1.8724248804869463,300,False
joint_lock,1.0,29,0.5564837480610468,0.03333333333333333,1.2238562120023642,300,False
joint_lock,1.0,30,0.5564837480610468,0.016666666666666666,3.184616397808951,300,False
joint_lock,1.0,31,0.5564837480610468,0.016666666666666666,2.375621327253195,300,False
joint_lock,1.0,32,0.5564837480610468,0.23333333333333334,1.7947975845615827,300,False
joint_lock,1.0,33,0.5564837480610468,0.23333333333333334,1.7947975845615827,300,False
joint_lock,1.0,34,0.5564837480610468,0.016666666666666666,2.6657289815595857,300,False
joint_lock,1.0,35,0.5564837480610468,0.016666666666666666,3.184616397808951,300,False
joint_lock,1.0,36,0.5564837480610468,0.016666666666666666,2.931187934393867,300,False
joint_lock,1.0,37,0.5564837480610468,0.016666666666666666,3.184616397808951,300,False
joint_lock,1.0,38,0.5564837480610468,0.016666666666666666,2.263370402288842,300,False
joint_lock,1.0,39,0.5564837480610468,0.03333333333333333,1.2238562120023642,300,False
joint_lock,1.0,40,0.5564837480610468,0.016666666666666666,2.375621327253195,300,False
joint_lock,1.0,41,0.5564837480610468,0.016666666666666666,1.8724248804869463,300,False
joint_lock,1.0,42,0.5564837480610468,0.016666666666666666,3.184616397808951,300,False
joint_lock,1.0,43,0.5564837480610468,0.016666666666666666,2.375621327253195,300,False
joint_lock,1.0,44,0.5564837480610468,0.016666666666666666,1.1100279073568935,300,False
joint_lock,1.0,45,0.5564837480610468,0.03333333333333333,1.2238562120023642,300,False
joint_lock,1.0,46,0.5564837480610468,0.016666666666666666,2.375621327253195,300,False
joint_lock,1.0,47,0.5564837480610468,0.016666666666666666,3.184616397808951,300,False
joint_lock,1.0,48,0.5564837480610468,0.016666666666666666,3.184616397808951,300,False
joint_lock,1.0,49,0.5564837480610468,0.016666666666666666,2.6657289815595857,300,False
joint_lock,1.0,50,0.5564837480610468,0.016666666666666666,2.471313187241777,300,False
joint_lock,1.0,51,0.5564837480610468,0.016666666666666666,2.931187934393867,300,False
joint_lock,1.0,52,0.5564837480610468,0.03333333333333333,1.2238562120023642,300,False
joint_lock,1.0,53,0.5564837480610468,0.016666666666666666,2.471313187241777,300,False
joint_lock,1.0,54,0.5564837480610468,0.016666666666666666,2.9094106594070106,300,False
joint_lock,1.0,55,0.5564837480610468,0.03333333333333333,1.2238562120023642,300,False
joint_lock,1.0,56,0.5564837480610468,0.016666666666666666,2.931187934393867,300,False
joint_lock,1.0,57,0.5564837480610468,0.016666666666666666,2.6657289815595857,300,False
joint_lock,1.0,58,0.5564837480610468,0.016666666666666666,2.375621327253195,300,False
joint_lock,1.0,59,0.5564837480610468,0.016666666666666666,2.471313187241777,300,False
joint_lock,1.0,60,0.5564837480610468,0.016666666666666666,2.263370402288842,300,False
joint_lock,1.0,61,0.5564837480610468,0.016666666666666666,3.2271294594360977,300,False
joint_lock,1.0,62,0.5564837480610468,0.016666666666666666,3.2271294594360977,300,False
joint_lock,1.0,63,0.5564837480610468,0.016666666666666666,3.2271294594360977,300,False
joint_lock,1.0,64,0.5564837480610468,0.016666666666666666,2.375621327253195,300,False
joint_lock,1.0,65,0.5564837480610468,0.016666666666666666,2.263370402288842,300,False
joint_lock,1.0,66,0.5564837480610468,0.03333333333333333,1.2238562120023642,300,False
joint_lock,1.0,67,0.5564837480610468,0.016666666666666666,2.471313187241777,300,False
joint_lock,1.0,68,0.5564837480610468,0.016666666666666666,3.2271294594360977,300,False
joint_lock,1.0,69,0.5564837480610468,0.016666666666666666,2.6657289815595857,300,False
joint_lock,1.0,70,0.5564837480610468,0.016666666666666666,1.8724248804869463,300,False
joint_lock,1.0,71,0.5564837480610468,0.03333333333333333,1.2238562120023642,300,False
joint_lock,1.0,72,0.5564837480610468,0.03333333333333333,1.2238562120023642,300,False
joint_lock,1.0,73,0.5564837480610468,0.016666666666666666,2.471313187241777,300,False
joint_lock,1.0,74,0.5564837480610468,0.016666666666666666,2.263370402288842,300,False
joint_lock,1.0,75,0.5564837480610468,0.016666666666666666,1.8724248804869463,300,False
joint_lock,1.0,76,0.5564837480610468,0.016666666666666666,2.375621327253195,300,False
joint_lock,1.0,77,0.5564837480610468,0.016666666666666666,2.6657289815595857,300,False
joint_lock,1.0,78,0.5564837480610468,0.016666666666666666,1.1100279073568935,300,False
joint_lock,1.0,79,0.5564837480610468,0.016666666666666666,3.184616397808951,300,False
joint_lock,1.0,80,0.5564837480610468,0.23333333333333334,1.7947975845615827,300,False
joint_lock,1.0,81,0.5564837480610468,0.016666666666666666,2.6657289815595857,300,False
joint_lock,1.0,82,0.5564837480610468,0.016666666666666666,1.1100279073568935,300,False
joint_lock,1.0,83,0.5564837480610468,0.016666666666666666,1.1100279073568935,300,False
joint_lock,1.0,84,0.5564837480610468,0.016666666666666666,1.8724248804869463,300,False
joint_lock,1.0,85,0.5564837480610468,0.016666666666666666,1.1100279073568935,300,False
joint_lock,1.0,86,0.5564837480610468,0.03333333333333333,1.2238562120023642,300,False
joint_lock,1.0,87,0.5564837480610468,0.016666666666666666,1.8724248804869463,300,False
