time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/n_updates,train/learning_rate,train/loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/std,train/clip_fraction,train/clip_range,train/approx_kl
36,294912,86,223.05,3425,79.90180333,13.569407427310944,350,0.0003,7.2716851234436035,0.8724064826965332,-17.45392827987671,-0.04720476579677779,1.0374445915222168,0.2318359375,0.2,0.019222943
37,303104,87,265.97,3454,98.42579171,15.075170850753784,360,0.0003,6.637573719024658,0.8554978966712952,-17.473002868890763,-0.045663127706211525,1.0392138957977295,0.22276611328125,0.2,0.01777721
38,311296,89,280.47,3484,103.71715662999999,12.597067189216613,370,0.0003,5.4324049949646,0.8528256416320801,-17.49901278614998,-0.045874554410693234,1.0415525436401367,0.22789306640625,0.2,0.020389192
39,319488,90,304.53,3515,115.67796514,13.898236891627311,380,0.0003,6.693460941314697,0.849029004573822,-17.503515541553497,-0.045991548207530285,1.041494369506836,0.23118896484375,0.2,0.019145332
40,327680,92,333.53,3547,129.49890443,16.77071954011917,390,0.0003,7.754181861877441,0.8529043793678284,-17.53542892932892,-0.04493555417284369,1.0456719398498535,0.20377197265625,0.2,0.01716804
41,335872,93,328.53,3577,128.40918939000002,15.900747326016425,400,0.0003,6.455070495605469,0.8371553421020508,-17.578908133506776,-0.0433596031019988,1.0493907928466797,0.21011962890625,0.2,0.018311573
42,344064,95,351.26,3606,140.19385777,15.108115091919899,410,0.0003,7.193435192108154,0.8663836717605591,-17.618388694524764,-0.04739233546570176,1.0530685186386108,0.2360107421875,0.2,0.01882735
43,352256,96,355.77,3635,144.31954145000003,11.967930924892425,420,0.0003,5.371206760406494,0.8179083466529846,-17.661592477560042,-0.04543453416554257,1.0564311742782593,0.24193115234375,0.2,0.02146095
44,360448,98,382.25,3664,156.83941078,14.2411239027977,430,0.0003,5.580652713775635,0.8501582145690918,-17.71827561855316,-0.04497045374737354,1.062019944190979,0.213232421875,0.2,0.018380592
45,368640,99,401.71,3691,168.46525658,12.618387374281884,440,0.0003,4.2742767333984375,0.8233697414398193,-17.72158789038658,-0.04674255176869337,1.0613250732421875,0.260693359375,0.2,0.021222912
46,376832,101,457.32,3719,195.14337075,7.724942599236965,450,0.0003,3.091299295425415,0.8302242755889893,-17.72820320725441,-0.04872162299870979,1.0615662336349487,0.2894775390625,0.2,0.02473105
47,385024,102,480.21,3748,207.19213242,9.799912106990813,460,0.0003,4.845363616943359,0.8683357238769531,-17.734748727083208,-0.04361324008787051,1.062532901763916,0.248291015625,0.2,0.021207735
48,393216,104,505.5,3775,221.24517282999997,10.269304549694061,470,0.0003,5.785849571228027,0.8614886403083801,-17.760646271705628,-0.04525724860577611,1.0638409852981567,0.2482421875,0.2,0.021250121
49,401408,105,556.44,3803,246.35226784999998,8.636352441459895,480,0.0003,4.162238597869873,0.8661285042762756,-17.787349903583525,-0.042785471446404696,1.067539095878601,0.266259765625,0.2,0.023430487
50,409600,106,585.13,3832,262.23783506999996,3.575158443301916,490,0.0003,1.2108994722366333,0.6072659492492676,-17.814781183004378,-0.04407732847030275,1.070386528968811,0.4003173828125,0.2,0.04085131
51,417792,108,624.15,3860,282.27262464,7.270639280974865,500,0.0003,3.5966873168945312,0.8377832174301147,-17.8628759264946,-0.03914682851609541,1.0744422674179077,0.2115478515625,0.2,0.017070271
52,425984,109,653.04,3887,297.9868256,4.912032820284367,510,0.0003,1.951812982559204,0.8433067202568054,-17.90226306319237,-0.04048084844835102,1.0780315399169922,0.26710205078125,0.2,0.023460224
53,434176,110,664.05,3916,303.44706091,4.269444622844458,520,0.0003,1.1114612817764282,0.8495546579360962,-17.9243982732296,-0.04260090505049448,1.0791906118392944,0.25789794921875,0.2,0.022917861
54,442368,112,679.11,3945,313.49580655,6.202114536613226,530,0.0003,1.4280451536178589,0.8738846182823181,-17.935512083768845,-0.04186464693630114,1.0799256563186646,0.2364013671875,0.2,0.02019358
55,450560,113,712.49,3973,332.44803845,5.71581592336297,540,0.0003,3.2284984588623047,0.8599965572357178,-17.942511981725694,-0.03880177123064641,1.0805226564407349,0.231689453125,0.2,0.018422231
56,458752,114,740.61,4000,347.67771822000003,3.9572638995945453,550,0.0003,1.3838071823120117,0.8593448400497437,-17.96407234072685,-0.04039564528720803,1.0839134454727173,0.26160888671875,0.2,0.0243636
57,466944,115,743.16,4029,349.58536021,5.778974933177233,560,0.0003,1.9354586601257324,0.853730320930481,-17.991277742385865,-0.0364819326394354,1.085626244544983,0.208203125,0.2,0.017464435
58,475136,117,734.15,4057,346.84504996,7.377053365856409,570,0.0003,1.3591783046722412,0.8872677683830261,-18.016219514608384,-0.03871983941135113,1.087753176689148,0.21053466796875,0.2,0.018973704
59,483328,118,757.26,4085,359.64721862999994,5.757648175209761,580,0.0003,2.0613811016082764,0.8542323708534241,-18.02915104031563,-0.04394289648189442,1.0895403623580933,0.25157470703125,0.2,0.023192372
60,491520,119,783.78,4113,374.1494048799999,4.03895166516304,590,0.0003,2.0016820430755615,0.7622476816177368,-18.057208555936814,-0.04338124091736972,1.0922290086746216,0.33665771484375,0.2,0.032961875
61,499712,120,776.51,4142,374.47808112999996,2.175693008676171,600,0.0003,0.732742190361023,0.711616039276123,-18.10109763741493,-0.04804600890420261,1.0955052375793457,0.42711181640625,0.2,0.042933736
