time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/entropy_loss,train/loss,train/explained_variance,train/clip_range,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/value_loss,train/std
245760,157.09,30,50.516754680000005,996,246,-17.432744336128234,6.505910396575928,0.8785849809646606,0.2,290,-0.04304689583514119,0.015601667,0.0003,0.19425048828125,12.901289799809456,1.0357820987701416
253952,172.5,31,55.35934046000001,1020,248,-17.44412346482277,6.4422173500061035,0.8445197939872742,0.2,300,-0.04273857467742346,0.015447605,0.0003,0.18204345703125,15.131083226203918,1.0365846157073975
262144,179.5,32,57.412040160000004,1045,250,-17.442588531970976,5.553287506103516,0.8714436292648315,0.2,310,-0.043832970470975854,0.016059507,0.0003,0.1966552734375,13.817700028419495,1.0359786748886108
270336,192.45,33,61.94150698000001,1070,252,-17.419807583093643,6.089657306671143,0.8636401295661926,0.2,320,-0.04518144768953789,0.016274288,0.0003,0.18427734375,14.364531740546227,1.0326014757156372
278528,209.04,34,68.14518738999999,1092,254,-17.407061809301375,6.85943603515625,0.8688051104545593,0.2,330,-0.04439362459088443,0.017366257,0.0003,0.20291748046875,12.485140126943588,1.032711148262024
286720,235.52,35,80.59289356,1122,255,-17.408752751350402,5.5662841796875,0.8677520751953125,0.2,340,-0.046015454613370824,0.017158704,0.0003,0.20335693359375,13.12010953426361,1.033492922782898
294912,268.9,36,94.37752202000001,1151,256,-17.44523125886917,5.909304141998291,0.8782791495323181,0.2,350,-0.04545412177831167,0.017938726,0.0003,0.207958984375,12.704354220628739,1.0374106168746948
303104,302.82,37,109.86107625999998,1178,257,-17.47386333346367,6.478808879852295,0.862844705581665,0.2,360,-0.04473814456723631,0.018526012,0.0003,0.212353515625,12.22042166441679,1.040299892425537
311296,337.91,38,126.26066243,1205,258,-17.490325087308882,3.5707645416259766,0.8602999448776245,0.2,370,-0.04669735127827153,0.018819058,0.0003,0.2318115234375,12.28843494951725,1.0403752326965332
319488,362.74,39,136.37893481999998,1231,259,-17.512604588270186,5.771739482879639,0.8281682729721069,0.2,380,-0.04552214980431017,0.021447208,0.0003,0.25081787109375,11.053564853966236,1.0434205532073975
327680,420.03,40,162.40458677,1257,260,-17.54034029841423,3.4655251502990723,0.864781379699707,0.2,390,-0.047517747784149834,0.021346694,0.0003,0.2454833984375,8.616862104833126,1.04560124874115
335872,461.14,41,180.18885627000003,1282,261,-17.56524501442909,5.353601455688477,0.819133996963501,0.2,400,-0.044491967561771165,0.01993991,0.0003,0.23450927734375,9.246984542906285,1.0477417707443237
344064,506.67,42,201.79183479000002,1307,263,-17.58360875248909,2.7726800441741943,0.8085638284683228,0.2,410,-0.04218267424512305,0.021080093,0.0003,0.2576416015625,8.814746935665607,1.0497578382492065
352256,555.01,43,224.84481921000003,1328,265,-17.605417048931123,3.117678642272949,0.7931968569755554,0.2,420,-0.0462439745591837,0.023520641,0.0003,0.26680908203125,8.007683463394642,1.051195740699768
360448,589.56,44,242.94123135,1353,266,-17.615316104888915,3.844926595687866,0.777167558670044,0.2,430,-0.04227812667668331,0.021393616,0.0003,0.264208984375,7.4126555196940895,1.0517165660858154
368640,633.93,45,264.45411061,1379,267,-17.660268700122835,0.9469401836395264,0.7599096894264221,0.2,440,-0.045934895330719885,0.035442084,0.0003,0.35860595703125,3.1096477653831243,1.0563112497329712
376832,663.26,46,280.52677721,1403,268,-17.68359082341194,2.429136276245117,0.8160947561264038,0.2,450,-0.03676795591745759,0.016505448,0.0003,0.22005615234375,5.494621563702822,1.0587987899780273
385024,699.44,47,300.19838861,1426,269,-17.72918983101845,1.3568321466445923,0.7526053190231323,0.2,460,-0.0449366141227074,0.027720116,0.0003,0.28905029296875,3.5756860449910164,1.061870813369751
393216,735.09,48,318.8356453,1447,271,-17.745049047470093,2.2190041542053223,0.8449459671974182,0.2,470,-0.03822413428642903,0.019829568,0.0003,0.23192138671875,4.8163550309836864,1.062971591949463
401408,720.03,49,314.29306909999997,1472,272,-17.751088285446166,2.4546778202056885,0.7295103073120117,0.2,480,-0.04256686610897305,0.022864114,0.0003,0.25025634765625,4.626333466172218,1.0638577938079834
409600,736.3,50,326.7285249,1497,273,-17.772599315643312,2.9027132987976074,0.8653987646102905,0.2,490,-0.037594976705440784,0.01679938,0.0003,0.19769287109375,7.143864932656288,1.0664294958114624
417792,738.95,51,331.63498269,1522,274,-17.80695177912712,2.1803786754608154,0.745644748210907,0.2,500,-0.03686262065675692,0.018338792,0.0003,0.22137451171875,6.173345486074686,1.0694600343704224
425984,730.19,52,330.79046509999995,1544,275,-17.854197669029237,2.6761956214904785,0.7920761108398438,0.2,510,-0.041161043188185434,0.021067038,0.0003,0.2306640625,5.78289889767766,1.0738129615783691
434176,702.0,53,320.27659876,1568,276,-17.901357460021973,2.9027671813964844,0.8728382587432861,0.2,520,-0.03816633191163419,0.0159083,0.0003,0.191259765625,6.929476869851351,1.0784010887145996
442368,730.26,54,335.29346747999995,1591,277,-17.912128263711928,3.074683666229248,0.8140134811401367,0.2,530,-0.036479755291657055,0.014519455,0.0003,0.1781982421875,10.60805212110281,1.0778800249099731
450560,713.24,55,328.63099573,1616,278,-17.941766571998595,1.6587125062942505,0.8784711360931396,0.2,540,-0.042623783156159334,0.027016457,0.0003,0.28531494140625,3.8396327923983335,1.0817618370056152
458752,738.93,56,342.27128755999996,1640,279,-17.973764491081237,2.3988442420959473,0.8510992527008057,0.2,550,-0.03959893477149308,0.019758971,0.0003,0.22685546875,5.825622937828302,1.0843509435653687
466944,747.64,57,349.41097250999997,1663,280,-18.03179738521576,0.4056863784790039,0.258034884929657,0.2,560,-0.05280203117144992,0.04552047,0.0003,0.4530029296875,1.6295401010662318,1.0891109704971313
475136,780.79,58,367.75245957,1688,281,-18.051418823003768,1.1595200300216675,0.7599066495895386,0.2,570,-0.03336405012450996,0.015098019,0.0003,0.20048828125,4.904022883623838,1.0924259424209595
483328,775.26,59,366.75144065000006,1711,282,-18.0866986989975,0.8234595060348511,0.8720461130142212,0.2,580,-0.03661716664355481,0.017125733,0.0003,0.2079833984375,3.2941985331475734,1.094645380973816
491520,785.95,60,372.84245049000015,1735,283,-18.12043365240097,2.124549150466919,0.839258074760437,0.2,590,-0.03740841767285019,0.01831889,0.0003,0.20281982421875,4.086579413712025,1.0986238718032837
499712,773.92,61,368.2883041,1763,283,-18.140911972522737,1.0219261646270752,0.8337136507034302,0.2,600,-0.03940053864716901,0.019007357,0.0003,0.22030029296875,3.7287383660674096,1.0983996391296387
507904,777.17,62,371.40729273,1792,283,-18.165569639205934,1.7594027519226074,0.8872867226600647,0.2,610,-0.035846484630747,0.013548439,0.0003,0.16514892578125,5.6070355825126175,1.1028372049331665
516096,787.14,63,376.83688488000007,1821,283,-18.19966186285019,1.8713414669036865,0.7613862752914429,0.2,620,-0.037671597783628386,0.02094617,0.0003,0.2131103515625,4.397668188810348,1.106041669845581
524288,785.79,64,377.26056640999997,1846,283,-18.24847031235695,2.2761662006378174,0.8851169943809509,0.2,630,-0.03642379535231157,0.016261555,0.0003,0.1899658203125,5.895214026421309,1.110219955444336
532480,778.64,65,375.6416011999999,1875,283,-18.299489152431487,1.3358198404312134,0.826125979423523,0.2,640,-0.038700532483198914,0.022628535,0.0003,0.2467529296875,3.7171602811664344,1.1154906749725342
540672,767.61,66,372.0432632799999,1904,283,-18.346837949752807,1.1622730493545532,0.8829021453857422,0.2,650,-0.035816607623564777,0.019101609,0.0003,0.22396240234375,4.301710245758295,1.11847984790802
548864,782.29,67,381.08786004999996,1931,284,-18.347162121534346,1.6009886264801025,0.8581296801567078,0.2,660,-0.03820959496079013,0.019696191,0.0003,0.24149169921875,3.983985648304224,1.1182514429092407
557056,792.96,68,387.70322142,1959,284,-18.40517865419388,1.4361531734466553,0.85337233543396,0.2,670,-0.03501969054195797,0.02357708,0.0003,0.2645751953125,4.51162365488708,1.1265324354171753
