rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/entropy_loss,train/value_loss,train/explained_variance,train/std,train/loss,train/n_updates,train/learning_rate
15.586726789999998,316,75.87,11,284,90112,-0.036269215157517465,0.012512242,0.2,0.1528564453125,-17.213072580099105,15.485127303004266,0.7249807119369507,1.0158182382583618,6.863093852996826,100,0.0003
16.423266819999995,342,77.11,12,287,98304,-0.037381500529590994,0.0132006565,0.2,0.14971923828125,-17.238214856386186,12.705078691244125,0.768652081489563,1.0187889337539673,5.169629096984863,110,0.0003
13.44715351,368,73.21,13,289,106496,-0.03915514833497582,0.0141238235,0.2,0.17196044921875,-17.270701617002487,12.169742864370345,0.7844488024711609,1.0209294557571411,5.485044956207275,120,0.0003
14.520453629999999,394,77.53,14,290,114688,-0.038781103475776034,0.01432878,0.2,0.16063232421875,-17.28437637090683,11.264137643575669,0.8065081834793091,1.0214834213256836,6.576755523681641,130,0.0003
19.07751675,418,81.69,15,293,122880,-0.03706480220571393,0.0129715,0.2,0.1569580078125,-17.300513702630997,11.972180449962616,0.8091756105422974,1.023569107055664,5.193332195281982,140,0.0003
16.57341139,443,81.76,16,295,131072,-0.0398993297101697,0.014543107,0.2,0.1636474609375,-17.29784979224205,10.119686198234557,0.8229861259460449,1.0225811004638672,3.985438108444214,150,0.0003
17.5986573,468,83.63,17,297,139264,-0.04194912457169266,0.014915877,0.2,0.1841796875,-17.300506359338762,9.441108052432536,0.8496643304824829,1.023127555847168,5.103440761566162,160,0.0003
17.27357436,492,84.82,18,299,147456,-0.040785233413043895,0.014181469,0.2,0.17808837890625,-17.3053218960762,10.555338165163993,0.8364037871360779,1.0238808393478394,4.087584018707275,170,0.0003
19.615684299999998,515,90.56,19,301,155648,-0.0396089403599035,0.014042409,0.2,0.16231689453125,-17.33411372900009,10.505920273065566,0.8334336876869202,1.0274423360824585,5.006972312927246,180,0.0003
20.792235209999998,538,90.91,20,304,163840,-0.04064656184855266,0.01451419,0.2,0.1646240234375,-17.36473978161812,10.566551679372788,0.8454724550247192,1.0289711952209473,4.353262901306152,190,0.0003
22.13688245,562,90.27,21,305,172032,-0.04175184442210593,0.015420472,0.2,0.18563232421875,-17.38677852153778,9.87121348530054,0.8563400506973267,1.0313528776168823,4.25555944442749,200,0.0003
22.17712153,586,90.32,22,307,180224,-0.04148508056387072,0.015173939,0.2,0.17935791015625,-17.410667699575423,10.163406093418597,0.8649221062660217,1.0333986282348633,4.489504814147949,210,0.0003
27.415439100000004,607,105.14,23,310,188416,-0.04273663569183554,0.015306775,0.2,0.1795166015625,-17.42123259305954,10.291012178361417,0.8688798546791077,1.0335055589675903,5.1468353271484375,220,0.0003
28.838061439999997,628,107.63,24,312,196608,-0.04446559438219992,0.01640839,0.2,0.19139404296875,-17.4004958987236,10.334307964146138,0.8675225973129272,1.0314306020736694,4.721462249755859,230,0.0003
33.14150641,648,124.59,25,315,204800,-0.042628519199206495,0.017145272,0.2,0.1956298828125,-17.37922958135605,9.668838939070701,0.879508912563324,1.0298383235931396,3.4610328674316406,240,0.0003
