rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,train/policy_gradient_loss,train/loss,train/approx_kl,train/std,train/entropy_loss,train/clip_range,train/value_loss,train/n_updates,train/learning_rate,train/explained_variance,train/clip_fraction
157.90724432,964,352256,43,365,393.59,-0.04518185797787737,6.67125129699707,0.021020718,1.0496505498886108,-17.588387632369994,0.2,12.282191586494445,420,0.0003,0.8768669962882996,0.23759765625
181.08020821,978,360448,44,368,443.19,-0.04596146476469585,5.662810325622559,0.01934651,1.05206298828125,-17.62496365904808,0.2,12.45757828503847,430,0.0003,0.8570957779884338,0.23529052734375
195.40653120000007,991,368640,45,371,469.88,-0.048594329243496756,4.250826358795166,0.02439419,1.0542083978652954,-17.647154158353807,0.2,9.953661236166955,440,0.0003,0.7939063310623169,0.26776123046875
211.47814716999994,1005,376832,46,374,497.14,-0.04655890837238985,2.576500415802002,0.02472361,1.0570019483566284,-17.677068173885345,0.2,7.479571974277496,450,0.0003,0.8610367774963379,0.28201904296875
228.99268664000002,1017,385024,47,378,532.66,-0.04531643398222514,3.649296522140503,0.022552384,1.059076189994812,-17.699873995780944,0.2,7.89961539208889,460,0.0003,0.8582216501235962,0.27060546875
245.10882231000002,1029,393216,48,381,561.2,-0.046057438377465586,2.696383476257324,0.028996093,1.060818076133728,-17.712045377492906,0.2,6.63839857056737,470,0.0003,0.7094252109527588,0.33001708984375
270.14077119999996,1042,401408,49,384,611.06,-0.04223714068793925,1.3478641510009766,0.03369744,1.065425992012024,-17.764985287189482,0.2,3.9835266008973123,480,0.0003,0.7365102767944336,0.34368896484375
293.30497790000004,1055,409600,50,388,653.63,-0.04674606515472988,1.4233155250549316,0.031381827,1.0676665306091309,-17.800757336616517,0.2,4.10986344665289,490,0.0003,0.7822923064231873,0.3337158203125
314.39936982,1068,417792,51,391,695.53,-0.04367418298061239,1.0953353643417358,0.028550964,1.0678178071975708,-17.811641764640807,0.2,3.378914741054177,500,0.0003,0.7679733037948608,0.3190185546875
332.73407614,1080,425984,52,394,729.98,-0.03739515696506714,3.4614694118499756,0.015597618,1.072503685951233,-17.838088750839233,0.2,7.523947682976723,510,0.0003,0.8573576807975769,0.18319091796875
340.65376918999993,1093,434176,53,397,740.52,-0.043461153928365096,1.6319265365600586,0.022799525,1.0737457275390625,-17.864713650941848,0.2,4.515473136305809,520,0.0003,0.8535686731338501,0.24793701171875
358.83860531000005,1106,442368,54,399,772.48,-0.03909508219803683,3.1964993476867676,0.01740788,1.0751338005065918,-17.88800890445709,0.2,7.754597157984972,530,0.0003,0.8402220606803894,0.214013671875
356.18290523000013,1119,450560,55,402,762.41,-0.0401258977886755,1.9564144611358643,0.02323372,1.0760170221328735,-17.894917809963225,0.2,4.677379651367664,540,0.0003,0.826673150062561,0.2484619140625
361.5292419600001,1132,458752,56,405,768.17,-0.03914025035337545,2.005441904067993,0.017934516,1.0792170763015747,-17.92640087604523,0.2,6.633248791098595,550,0.0003,0.8640762567520142,0.22005615234375
363.2585326099999,1146,466944,57,407,765.57,-0.04040367640845943,1.356816291809082,0.022825582,1.0827947854995728,-17.961528223752975,0.2,4.748852958530188,560,0.0003,0.8235560059547424,0.25361328125
375.2214224000001,1159,475136,58,409,784.16,-0.04037965984462062,1.0362704992294312,0.03454639,1.084795355796814,-17.98723265528679,0.2,2.8544604800641538,570,0.0003,0.8005144596099854,0.35194091796875
377.51249533999993,1172,483328,59,412,783.64,-0.039752776919340246,2.3411495685577393,0.028067399,1.0895854234695435,-18.03349059820175,0.2,4.15418324880302,580,0.0003,0.7189720273017883,0.30345458984375
379.6425354100001,1185,491520,60,414,780.2,-0.0401730491881608,0.7225853204727173,0.032284893,1.0914863348007202,-18.069016498327255,0.2,3.0719096951186655,590,0.0003,0.8546080589294434,0.29654541015625
387.3068377399999,1197,499712,61,417,790.1,-0.035771450198080854,1.0979560613632202,0.023471477,1.09779953956604,-18.118568694591524,0.2,3.838686441257596,600,0.0003,0.8232033252716064,0.25635986328125
382.19386290999995,1211,507904,62,419,773.41,-0.03677141357256915,1.989166259765625,0.01858186,1.1011695861816406,-18.161001050472258,0.2,5.407165507227182,610,0.0003,0.8550280928611755,0.213037109375
390.5168669100001,1224,516096,63,421,784.43,-0.03894754580251174,1.422996163368225,0.02384403,1.1039676666259766,-18.194664931297304,0.2,3.6739442605525254,620,0.0003,0.8844560384750366,0.26025390625
400.32207632000006,1236,524288,64,423,799.54,-0.039229738803260264,0.8041669130325317,0.036956552,1.103805661201477,-18.21225275993347,0.2,2.59199754036963,630,0.0003,0.742539644241333,0.35540771484375
399.86960108999995,1249,532480,65,426,795.18,-0.041704967503028455,0.7326202988624573,0.03115008,1.105931282043457,-18.22078076004982,0.2,2.76670704446733,640,0.0003,0.8188124895095825,0.32750244140625
412.37742998,1262,540672,66,428,815.02,-0.03293802184780361,1.044486165046692,0.014430152,1.1080737113952637,-18.239547902345656,0.2,5.223260404914617,650,0.0003,0.8332178592681885,0.165673828125
411.6069426800001,1275,548864,67,430,809.76,-0.04327058389681042,1.1975197792053223,0.03150846,1.1122221946716309,-18.28233783841133,0.2,3.2202665589749815,660,0.0003,0.7524177432060242,0.3119384765625
405.44459775,1288,557056,68,432,794.17,-0.037859465042856755,1.2954617738723755,0.018955532,1.1145917177200317,-18.303059726953506,0.2,3.871031354367733,670,0.0003,0.8117476105690002,0.23170166015625
405.7019231,1301,565248,69,434,790.83,-0.0346624982998037,4.980851173400879,0.01753136,1.1167036294937134,-18.329295456409454,0.2,5.585273808985948,680,0.0003,0.823096513748169,0.22152099609375
415.61948065,1313,573440,70,436,806.7,-0.038488810665148775,1.9274132251739502,0.0183824,1.1198350191116333,-18.362747186422347,0.2,4.813026268780232,690,0.0003,0.8770895600318909,0.20992431640625
425.89144626,1326,581632,71,438,820.18,-0.04118304395960877,1.0107401609420776,0.032519832,1.1214889287948608,-18.390395563840865,0.2,3.360045098140836,700,0.0003,0.72779381275177,0.3272216796875
419.74540255000005,1339,589824,72,440,805.68,-0.03712141529395012,1.2187559604644775,0.018063769,1.125315546989441,-18.416164416074754,0.2,4.713949987664819,710,0.0003,0.8934502005577087,0.20269775390625
401.4368192600001,1352,598016,73,442,765.39,-0.03304289045772748,3.0058822631835938,0.012476409,1.1285854578018188,-18.446589326858522,0.2,8.036546037346124,720,0.0003,0.8931958675384521,0.15550537109375
405.37771562,1365,606208,74,444,769.7,-0.037629607040435074,4.769519805908203,0.01420797,1.1302021741867065,-18.473825407028198,0.2,8.595320469141006,730,0.0003,0.9128528833389282,0.178662109375
399.49348999999995,1378,614400,75,445,754.15,-0.03685022670397302,1.684152603149414,0.019259475,1.1319118738174438,-18.492231786251068,0.2,6.218071731179952,740,0.0003,0.8448536396026611,0.22008056640625
404.25729011000004,1390,622592,76,447,759.24,-0.035081757808075056,2.164151430130005,0.016814679,1.1356323957443237,-18.521649569272995,0.2,7.327608070522547,750,0.0003,0.8845165371894836,0.20284423828125
392.60629481999996,1404,630784,77,449,732.32,-0.038863923450117,1.6010184288024902,0.041200172,1.1409364938735962,-18.5747312605381,0.2,2.9895828515291214,760,0.0003,0.7524300813674927,0.41021728515625
408.05715647,1416,638976,78,451,758.24,-0.03616933491139207,4.891849040985107,0.015447231,1.140324592590332,-18.593044769763946,0.2,7.849712430685758,770,0.0003,0.8930087089538574,0.188134765625
411.8808179799999,1429,647168,79,452,760.94,-0.039819847837497944,1.5947679281234741,0.035477158,1.1471697092056274,-18.642694348096846,0.2,3.8540389720350503,780,0.0003,0.740018367767334,0.357177734375
407.15166967,1442,655360,80,454,750.52,-0.0570867912567337,0.3663218021392822,0.056305356,1.1520452499389648,-18.702165347337722,0.2,1.5261433463543654,790,0.0003,0.23823434114456177,0.49688720703125
399.54364348999997,1455,663552,81,455,732.65,-0.027351581399852876,0.9811680316925049,0.014636787,1.1530052423477173,-18.717061918973922,0.2,4.121768127754331,800,0.0003,0.7890377044677734,0.19066162109375
414.13109627000006,1467,671744,82,457,758.03,-0.02475015001691645,3.4630532264709473,0.009335881,1.1555638313293457,-18.735964888334273,0.2,8.531541538238525,810,0.0003,0.8330992460250854,0.09649658203125
417.31053389999994,1480,679936,83,459,760.89,-0.027224135532742368,2.245626926422119,0.010792525,1.15597665309906,-18.74954425096512,0.2,6.754922986775637,820,0.0003,0.8808574676513672,0.10643310546875
423.61477048999996,1494,688128,84,460,769.95,-0.029187407386780252,3.584954261779785,0.012032191,1.1572885513305664,-18.758716332912446,0.2,8.24570311009884,830,0.0003,0.8568607568740845,0.1370361328125
414.20876982000004,1506,696320,85,462,749.34,-0.031485134593822295,2.896332025527954,0.012639586,1.1578902006149292,-18.767088907957078,0.2,7.0348164036870005,840,0.0003,0.8993537425994873,0.13956298828125
422.96355924000005,1519,704512,86,463,762.79,-0.034975098588620315,2.112339735031128,0.018219274,1.1613614559173584,-18.7922358751297,0.2,5.267685622349381,850,0.0003,0.8846291303634644,0.2121826171875
437.84770035,1532,712704,87,465,785.85,-0.03191317769596935,0.9995467662811279,0.02109327,1.1643060445785522,-18.827474701404572,0.2,4.78675635010004,860,0.0003,0.8759304285049438,0.22412109375
434.29126482999993,1544,720896,88,466,777.56,-0.03538949667272391,1.183126449584961,0.022174723,1.167089581489563,-18.850350904464722,0.2,5.247721679508686,870,0.0003,0.8378182649612427,0.25491943359375
437.11016137999997,1556,729088,89,468,780.2,-0.03470780786010437,2.921221971511841,0.014643187,1.1669789552688599,-18.866214060783385,0.2,7.138225844502449,880,0.0003,0.837284505367279,0.181201171875
440.88526129999997,1570,737280,90,469,784.25,-0.03531608284465619,0.8325192928314209,0.024143182,1.1701446771621704,-18.884808814525606,0.2,4.716646455228329,890,0.0003,0.8440976142883301,0.26993408203125
452.29034726,1583,745472,91,470,800.52,-0.03674527353941812,0.9343549013137817,0.02879195,1.1728202104568481,-18.92086148262024,0.2,3.3152824882417917,900,0.0003,0.8946400880813599,0.29769287109375
458.17485538,1595,753664,92,472,807.42,-0.032535505585838106,1.098259449005127,0.015610947,1.1752058267593384,-18.94077072143555,0.2,6.210047242790461,910,0.0003,0.8530383110046387,0.1922607421875
449.68641474,1608,761856,93,473,789.66,-0.038211037005385154,0.9086257219314575,0.02925178,1.1789283752441406,-18.966090422868728,0.2,4.505266198515892,920,0.0003,0.7729923725128174,0.284765625
461.41154911999996,1621,770048,94,474,806.34,-0.033575533803377765,2.2593846321105957,0.014875112,1.1829756498336792,-19.012684684991836,0.2,9.786179740726947,930,0.0003,0.8550833463668823,0.17333984375
463.2634851899999,1634,778240,95,476,807.31,-0.03599143719111453,3.423987865447998,0.015686069,1.1851826906204224,-19.039839488267898,0.2,8.641091219335795,940,0.0003,0.8898881673812866,0.19287109375
468.1866393600001,1646,786432,96,477,813.76,-0.039095791666477454,2.7529118061065674,0.021938665,1.1872390508651733,-19.065133929252625,0.2,6.856325468420982,950,0.0003,0.8924914598464966,0.23016357421875
473.33654223999997,1659,794624,97,478,820.52,-0.03990290710644331,2.1012821197509766,0.020184703,1.1895979642868042,-19.08687216639519,0.2,8.81954641789198,960,0.0003,0.8468383550643921,0.22431640625
460.82162909,1672,802816,98,480,796.21,-0.04233798768982524,0.8715637922286987,0.05475029,1.1927422285079956,-19.11880906820297,0.2,2.72752151414752,970,0.0003,0.8483742475509644,0.4637451171875
443.95964390999995,1685,811008,99,481,765.92,-0.0343947131128516,2.510863780975342,0.017888062,1.1936285495758057,-19.13219146132469,0.2,5.0744344890117645,980,0.0003,0.8691487908363342,0.2322509765625
443.11788349999995,1698,819200,100,482,764.36,-0.03512508364001406,2.35599422454834,0.016232684,1.1993340253829956,-19.166700690984726,0.2,8.447713275253772,990,0.0003,0.8757607936859131,0.19971923828125
