rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/clip_fraction,train/policy_gradient_loss,train/loss,train/clip_range,train/std,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/explained_variance,train/approx_kl
716.77,311.49861448,425984,1287,330,52,0.45277099609375,-0.0522937872869079,0.5513347387313843,0.2,1.0801036357879639,0.0003,1.788932766765356,510,-17.94442684054375,0.7562919855117798,0.04900863
745.28,327.77927832,434176,1300,333,53,0.36666259765625,-0.050731843079120154,0.41734421253204346,0.2,1.082729458808899,0.0003,1.7096599653363227,520,-17.97787634730339,0.42543452978134155,0.036097374
778.58,346.73442985,442368,1313,336,54,0.1939208984375,-0.031692061934882075,0.528573751449585,0.2,1.0871959924697876,0.0003,2.7174769684672357,530,-18.019770789146424,0.7576382160186768,0.016421787
820.28,369.0443148900001,450560,1328,339,55,0.28353271484375,-0.04392358837358188,0.7864848971366882,0.2,1.0875868797302246,0.0003,2.329599544405937,540,-18.031471705436708,0.7607631683349609,0.023716174
851.64,386.13906756999995,458752,1629,281,56,0.24266357421875,-0.03763499629276339,0.5986768007278442,0.2,1.0902419090270996,0.0003,2.3118737008422614,550,-18.051412308216094,0.7258656024932861,0.02196125
859.13,393.59949089,466944,1643,284,57,0.247216796875,-0.037579226242451115,0.5275627970695496,0.2,1.0915247201919556,0.0003,2.4851536747068166,560,-18.06992166042328,0.7661874294281006,0.02384796
870.34,402.14292491,475136,1656,286,58,0.1928955078125,-0.03411682585865492,0.9761991500854492,0.2,1.095852255821228,0.0003,3.6730598609894516,570,-18.10241106748581,0.8269253373146057,0.017589305
869.13,405.67935945000005,483328,1670,289,59,0.15220947265625,-0.031873582856496795,2.86340069770813,0.2,1.100023627281189,0.0003,4.821654108166695,580,-18.14513692855835,0.838979959487915,0.013666615
853.71,401.39866431999997,491520,1684,291,60,0.150341796875,-0.03187611867761007,2.4634957313537598,0.2,1.1022127866744995,0.0003,5.83358583971858,590,-18.176400470733643,0.8396143913269043,0.013002928
834.3,395.65974723,499712,1698,294,61,0.145751953125,-0.030423214138136246,1.7230916023254395,0.2,1.1043330430984497,0.0003,6.699162937700748,600,-18.20020835995674,0.8532986640930176,0.012124529
825.55,394.74755988000004,507904,1711,296,62,0.15120849609375,-0.03473957403621171,1.6142520904541016,0.2,1.1053885221481323,0.0003,6.451504791527986,610,-18.219860804080962,0.8639519214630127,0.012106573
812.95,390.06348467,516096,1725,299,63,0.2499267578125,-0.039904068640316835,1.4963897466659546,0.2,1.1074122190475464,0.0003,3.894961334019899,620,-18.24344235062599,0.7829737663269043,0.023115296
765.91,369.12447844,524288,1739,301,64,0.1518798828125,-0.0316482945032476,2.471672773361206,0.2,1.1075053215026855,0.0003,6.860775615274906,630,-18.247487223148347,0.8228932023048401,0.013373714
772.99,374.56099866999995,532480,1752,303,65,0.18106689453125,-0.03654732322102063,2.7983973026275635,0.2,1.1093767881393433,0.0003,6.915590023249388,640,-18.259542471170427,0.8921160697937012,0.014585454
770.26,375.96949119,540672,1766,306,66,0.19517822265625,-0.03692857877176721,1.8271629810333252,0.2,1.1118136644363403,0.0003,5.185966248065233,650,-18.27800279855728,0.8512127995491028,0.016929246
769.58,378.36688920000006,548864,1780,308,67,0.22596435546875,-0.035412916397763186,0.7894362211227417,0.2,1.112433910369873,0.0003,6.027473071962595,660,-18.295912766456603,0.7828220725059509,0.019025855
792.73,391.61288069,557056,1793,310,68,0.39234619140625,-0.043059014904429205,0.5769553780555725,0.2,1.1151939630508423,0.0003,2.3768558625131844,670,-18.31831768155098,0.8629812002182007,0.03905343
779.1,386.33700969,565248,1807,312,69,0.2800048828125,-0.035823129291748045,0.6731129884719849,0.2,1.1200143098831177,0.0003,2.853564152866602,680,-18.358495384454727,0.7962044477462769,0.028319826
783.84,391.65450738,573440,1821,314,70,0.1630615234375,-0.03365964382028323,1.5896738767623901,0.2,1.1226128339767456,0.0003,5.925271467864514,690,-18.402932119369506,0.888725996017456,0.014315208
761.45,380.58118389,581632,1834,317,71,0.2142822265625,-0.03588821896264562,1.5436062812805176,0.2,1.1279598474502563,0.0003,4.6026220642030236,700,-18.448342537879945,0.8144276142120361,0.019278351
760.12,382.06048912000006,589824,1848,319,72,0.20189208984375,-0.038437468133633954,1.906617522239685,0.2,1.1311511993408203,0.0003,5.426888517290354,710,-18.488340628147125,0.903154730796814,0.017565493
769.3,389.4408676599999,598016,1861,321,73,0.28895263671875,-0.037124832579866054,1.1370859146118164,0.2,1.1340038776397705,0.0003,5.485317995399237,720,-18.51969841718674,0.8247292637825012,0.026461769
782.94,398.2565262700001,606208,1875,323,74,0.178857421875,-0.03654282901188708,1.7898292541503906,0.2,1.1311019659042358,0.0003,6.179020843654871,730,-18.50791655778885,0.9011987447738647,0.0146660395
