rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,rollout/ep_rew_mean,train/explained_variance,train/clip_fraction,train/approx_kl,train/loss,train/n_updates,train/std,train/clip_range,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss
820.91,1349,461,76,622592,437.70096351,0.8552769422531128,0.22882080078125,0.02182905,2.3518080711364746,750,1.1324859857559204,0.2,0.0003,4.760559339076281,-0.03770583540353982,-18.500988328456877
811.31,1362,462,77,630784,435.50567413,0.8650131225585938,0.15272216796875,0.013223227,3.6599764823913574,760,1.1321234703063965,0.2,0.0003,10.915471324324608,-0.034770781987026565,-18.504354441165923
808.13,1375,464,78,638976,436.00652370000006,0.8789386749267578,0.19981689453125,0.016735552,1.6001715660095215,770,1.134166955947876,0.2,0.0003,8.569386814534663,-0.035991317252774026,-18.515350925922395
792.01,1387,466,79,647168,427.95612223999996,0.8640169501304626,0.21197509765625,0.017967055,2.0556092262268066,780,1.135409951210022,0.2,0.0003,6.8395680114626884,-0.04002694358496228,-18.53038897514343
768.44,1400,467,80,655360,417.85174120999994,0.9176662564277649,0.2233642578125,0.018807964,2.881789445877075,790,1.1386070251464844,0.2,0.0003,7.234947095066309,-0.039657811231154486,-18.56454997062683
767.08,1412,469,81,663552,419.13013957999993,0.8538353443145752,0.1935302734375,0.015537759,4.0583882331848145,800,1.1424187421798706,0.2,0.0003,11.978940193355083,-0.03764013651962159,-18.59389671087265
734.68,1425,471,82,671744,403.9915186400001,0.8075218796730042,0.23961181640625,0.0204866,4.759706497192383,810,1.1452289819717407,0.2,0.0003,8.314483769983052,-0.03715846324339509,-18.629473596811295
697.94,1438,472,83,679936,384.55241997000013,0.823861837387085,0.1871337890625,0.015224979,6.533446311950684,820,1.1498621702194214,0.2,0.0003,12.999822710454463,-0.03658179803205712,-18.667419183254243
694.36,1451,474,84,688128,383.8526211800001,0.8948771357536316,0.244580078125,0.020911844,3.2707736492156982,830,1.152873158454895,0.2,0.0003,9.243561093509197,-0.041513086052873405,-18.70837581753731
689.28,1464,475,85,696320,381.28965790000007,0.8907132744789124,0.27569580078125,0.023870122,2.9771153926849365,840,1.157089114189148,0.2,0.0003,7.783840675652027,-0.041687981773429784,-18.749740481376648
699.13,1477,476,86,704512,388.13658477999996,0.8637507557868958,0.24180908203125,0.020379031,3.45751953125,850,1.159024715423584,0.2,0.0003,8.809701544046401,-0.03759999424946727,-18.781998693943024
719.1,1490,478,87,712704,402.69398222,0.9015849828720093,0.271142578125,0.023735229,2.3359014987945557,860,1.1606812477111816,0.2,0.0003,6.704938473552465,-0.04221172535908409,-18.801546293497086
719.54,1502,479,88,720896,404.77075265,0.6047894358634949,0.43564453125,0.049061242,1.129870057106018,870,1.1645587682724,0.2,0.0003,2.7503290735185146,-0.044713370505633065,-18.820610505342483
727.5,1515,481,89,729088,411.07836154000006,0.7898635268211365,0.28572998046875,0.023429034,1.2769235372543335,880,1.1671775579452515,0.2,0.0003,6.266706557944417,-0.03559591966186417,-18.859079855680466
733.33,1528,482,90,737280,416.61186398999996,0.8682228922843933,0.19410400390625,0.016745638,1.9029176235198975,890,1.1706782579421997,0.2,0.0003,7.451529673486948,-0.03488796893798281,-18.8881378531456
742.03,1540,483,91,745472,423.12404588,0.8027565479278564,0.475048828125,0.052473854,0.45477908849716187,900,1.1793404817581177,0.2,0.0003,2.5686830807477237,-0.04070456387053127,-18.96485899090767
781.19,1552,485,92,753664,447.49107370999997,0.8682861924171448,0.269287109375,0.020547558,1.2054845094680786,910,1.1835801601409912,0.2,0.0003,5.580658236891031,-0.03134587011663825,-19.021532821655274
793.2,1565,486,93,761856,456.35231056000003,0.8614574670791626,0.15611572265625,0.012394255,3.1908609867095947,920,1.1851328611373901,0.2,0.0003,10.326506868749856,-0.03142290606883762,-19.044411075115203
788.99,1577,488,94,770048,455.3346280500001,0.8888540267944336,0.21510009765625,0.019075263,4.035289287567139,930,1.1876556873321533,0.2,0.0003,6.606413178890944,-0.037380256960022964,-19.069403809309005
794.69,1590,489,95,778240,460.96522393,0.8685573935508728,0.157763671875,0.012275388,5.317252159118652,940,1.1920078992843628,0.2,0.0003,12.382061292231082,-0.03323339379421668,-19.09843066930771
772.87,1602,490,96,786432,448.40488465000004,0.9027783870697021,0.18997802734375,0.016111936,2.316566228866577,950,1.1927720308303833,0.2,0.0003,8.160153640061617,-0.03773121893900679,-19.126035648584367
770.95,1615,492,97,794624,447.55496581,0.8923996090888977,0.1769287109375,0.015208807,3.2101409435272217,960,1.1955536603927612,0.2,0.0003,9.549508555233478,-0.0377532304955821,-19.141692435741426
777.48,1627,493,98,802816,453.60789164999994,0.8733181357383728,0.24595947265625,0.020856772,5.436745643615723,970,1.1972800493240356,0.2,0.0003,8.940851800143719,-0.0359633399581071,-19.167254614830018
777.38,1639,494,99,811008,454.70441988,0.8566452860832214,0.2622314453125,0.023909314,3.053496837615967,980,1.2019456624984741,0.2,0.0003,7.226021285355091,-0.03741993003641255,-19.20161908864975
730.19,1653,495,100,819200,426.7383601800001,0.8365828394889832,0.259375,0.023091055,1.9583462476730347,990,1.2029815912246704,0.2,0.0003,7.302682857960463,-0.039967138260544745,-19.224298816919326
723.9,1665,496,101,827392,423.64687991999995,0.8956384658813477,0.181982421875,0.015857473,6.1724629402160645,1000,1.2053649425506592,0.2,0.0003,13.014338673651219,-0.03907838927189004,-19.242588770389556
730.11,1678,497,102,835584,428.72915085999995,0.8501564264297485,0.24271240234375,0.020954754,2.4471662044525146,1010,1.2066236734390259,0.2,0.0003,8.43747595101595,-0.0399752551173151,-19.264629662036896
727.23,1691,498,103,843776,427.18452276999994,0.8549036979675293,0.2849609375,0.026802134,1.8459737300872803,1020,1.2091437578201294,0.2,0.0003,6.074181152135134,-0.041570847932598555,-19.286207211017608
720.0,1704,499,104,851968,424.3659305299999,0.8968701362609863,0.22105712890625,0.018141787,2.779240846633911,1030,1.21438729763031,0.2,0.0003,12.008733150362968,-0.038180837628169685,-19.320171964168548
713.17,1717,500,105,860160,422.45205435,0.8944354057312012,0.312060546875,0.028288946,2.071408271789551,1040,1.2195230722427368,0.2,0.0003,7.636036163568496,-0.039798704702843676,-19.38106678724289
687.09,1730,501,106,868352,407.06024347,0.8646062612533569,0.22628173828125,0.019466419,4.159336090087891,1050,1.2234129905700684,0.2,0.0003,11.66325290054083,-0.040201061208790634,-19.420161545276642
679.75,1742,502,107,876544,402.4937817600001,0.899458646774292,0.254052734375,0.023238596,4.613448143005371,1060,1.224594235420227,0.2,0.0003,9.108192928135395,-0.03932547088334104,-19.43951807022095
690.39,1755,504,108,884736,410.60461888000003,0.9069058299064636,0.24622802734375,0.019519709,4.920608043670654,1070,1.2263762950897217,0.2,0.0003,12.438755461573601,-0.04307808713638224,-19.45483065843582
707.03,1767,505,109,892928,422.0524428500001,0.9046199917793274,0.2738525390625,0.023548406,3.647552490234375,1080,1.2286968231201172,0.2,0.0003,8.34542447924614,-0.04183089878133615,-19.471423476934433
706.89,1779,506,110,901120,423.62788570000004,0.8751447200775146,0.28621826171875,0.0260193,3.057483196258545,1090,1.2288141250610352,0.2,0.0003,8.44601581543684,-0.0405240127867728,-19.485905092954635
718.79,1792,507,111,909312,432.23074845,0.866932213306427,0.312939453125,0.027424566,5.2251715660095215,1100,1.2342802286148071,0.2,0.0003,9.27489919885993,-0.038802682887762785,-19.52572758793831
714.53,1805,508,112,917504,431.02736570999986,0.854703962802887,0.363916015625,0.03494159,1.1810343265533447,1110,1.2431210279464722,0.2,0.0003,5.737003920972347,-0.04281760235462571,-19.589216578006745
729.17,1817,509,113,925696,440.2442308200001,0.8744650483131409,0.25347900390625,0.020053823,6.020153999328613,1120,1.2477582693099976,0.2,0.0003,11.039233978837729,-0.03890553238161374,-19.656513226032256
736.01,1829,510,114,933888,444.80085723,0.8763562440872192,0.28377685546875,0.025758505,1.733323097229004,1130,1.2516391277313232,0.2,0.0003,8.608899511396885,-0.042407614508556436,-19.69017042517662
760.72,1842,511,115,942080,461.9946099000001,0.8773725628852844,0.28253173828125,0.026956797,5.746914386749268,1140,1.2518235445022583,0.2,0.0003,7.859272612631321,-0.03900863511553325,-19.703258484601974
775.85,1855,512,116,950272,474.14199126999995,0.8107014894485474,0.48955078125,0.077227905,0.7437360882759094,1150,1.2583794593811035,0.2,0.0003,2.6368155201897023,-0.03303074577124789,-19.74946772456169
760.04,1867,513,117,958464,465.2071599799999,0.8687624931335449,0.25223388671875,0.020102516,1.5116117000579834,1160,1.2635984420776367,0.2,0.0003,5.036058761179447,-0.03457575585744053,-19.8077308177948
761.7,1879,514,118,966656,466.38111143000003,0.8912533521652222,0.22535400390625,0.019173753,1.1032971143722534,1170,1.267066240310669,0.2,0.0003,6.3972965981811285,-0.03570895150769502,-19.840719944238664
756.34,1892,515,119,974848,463.96536653999993,0.8753873109817505,0.190478515625,0.015936937,3.0380289554595947,1180,1.2692018747329712,0.2,0.0003,11.279343831539155,-0.036052475134056294,-19.865758067369462
