time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/std,train/n_updates,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/learning_rate,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range
450560,2100,55,821.1,383.64927621000004,214,1.0811792612075806,540,1.3532183170318604,-0.03823212426432292,-17.929701352119444,0.2686767578125,0.0003,3.759873440861702,0.02699208,0.8538984656333923,0.2
458752,2124,56,825.39,388.07910397,215,1.0833282470703125,550,2.3794612884521484,-0.032446152883494506,-17.971028292179106,0.21019287109375,0.0003,5.146281287446618,0.017121408,0.7597541809082031,0.2
466944,2170,57,838.16,395.63830104999994,215,1.0867406129837036,560,1.1159948110580444,-0.035913237488421144,-17.99976518154144,0.22681884765625,0.0003,3.8636534363031387,0.02054165,0.8571882843971252,0.2
475136,2227,58,846.87,402.25862778000004,213,1.0915182828903198,570,0.9036533832550049,-0.0423166137527005,-18.049188178777694,0.34300537109375,0.0003,2.3775387912988664,0.032920696,0.7468483448028564,0.2
483328,2271,59,842.81,402.5211188299999,212,1.0920482873916626,580,1.0395011901855469,-0.036597236058150885,-18.076970040798187,0.23050537109375,0.0003,3.9552616249769925,0.020254068,0.8483030796051025,0.2
491520,2313,60,847.06,407.28842461000005,212,1.0947818756103516,590,1.379054307937622,-0.03755413380131358,-18.092931234836577,0.229443359375,0.0003,3.9814086716622112,0.020120233,0.8340592980384827,0.2
499712,2357,61,847.87,409.53784205000005,211,1.1013020277023315,600,0.548230767250061,-0.055346017917327114,-18.152263712882995,0.44095458984375,0.0003,1.591472676023841,0.048375055,0.27931278944015503,0.2
507904,2410,62,837.19,407.45661234000005,210,1.1049340963363647,610,0.7184826135635376,-0.02963892886400572,-18.195991706848144,0.202099609375,0.0003,2.6705353904515503,0.0180639,0.7927649021148682,0.2
516096,2453,63,831.2,406.79281209999994,210,1.107729196548462,620,0.9065035581588745,-0.030541628737410065,-18.232360339164735,0.150634765625,0.0003,4.483301301300526,0.012467554,0.8462678790092468,0.2
524288,2497,64,831.58,408.56359898999995,209,1.1105543375015259,630,2.319718837738037,-0.02920434094266966,-18.25882877111435,0.1274169921875,0.0003,6.476925147324801,0.011083735,0.857053279876709,0.2
532480,2545,65,833.91,411.21657369,209,1.1114481687545776,640,1.364208459854126,-0.032144198474634324,-18.28146439194679,0.1515869140625,0.0003,4.8593387514352795,0.012463304,0.8848888874053955,0.2
540672,2591,66,837.43,414.68688382000005,208,1.1126991510391235,650,0.48808401823043823,-0.040256801003124565,-18.288899224996566,0.3185546875,0.0003,2.726885977387428,0.02907073,0.7835888266563416,0.2
548864,2633,67,828.25,413.2126674499999,208,1.1129006147384644,660,1.247833013534546,-0.03636570585804293,-18.293050086498262,0.264892578125,0.0003,3.3343442317098377,0.02322464,0.8413130044937134,0.2
557056,2676,68,817.4,410.1587701200001,208,1.118141531944275,670,1.029975175857544,-0.03175507418563939,-18.32966325879097,0.181591796875,0.0003,4.83457655236125,0.016136006,0.813044548034668,0.2
565248,2719,69,792.3,399.8940636,207,1.1203583478927612,680,2.92399001121521,-0.03409115693357308,-18.369036519527434,0.15379638671875,0.0003,5.338207294791937,0.013097231,0.8893619179725647,0.2
573440,2760,70,794.64,402.08249226,207,1.1235257387161255,690,3.8592529296875,-0.03281912933816784,-18.396822839975357,0.15965576171875,0.0003,7.287884640693664,0.013029618,0.8459294438362122,0.2
581632,2803,71,769.31,390.2248045,207,1.129517674446106,700,0.8983036279678345,-0.0483179941365961,-18.452308350801466,0.396728515625,0.0003,2.4789701361209153,0.038412996,0.129940927028656,0.2
589824,2830,72,769.06,392.61702239999994,208,1.1311088800430298,710,1.0490074157714844,-0.032737234605883715,-18.486730897426604,0.18065185546875,0.0003,4.619911490380764,0.014895248,0.8615238666534424,0.2
598016,2846,73,758.14,388.34739362000005,210,1.1335816383361816,720,2.6569387912750244,-0.03154354054859141,-18.50599100589752,0.142236328125,0.0003,9.373415611684322,0.012185303,0.8560246229171753,0.2
606208,2872,74,767.7,395.60277332,211,1.1345694065093994,730,2.463712692260742,-0.03562882761179935,-18.525395554304122,0.15709228515625,0.0003,7.780469926446676,0.013934233,0.8752671480178833,0.2
614400,2910,75,771.94,401.26195527,211,1.1363506317138672,740,2.2842347621917725,-0.03600700682945899,-18.54165256023407,0.25782470703125,0.0003,3.8084415875375273,0.021921026,0.8179092407226562,0.2
622592,2946,76,770.28,401.0566523,211,1.1401290893554688,750,1.2002191543579102,-0.03871554497527541,-18.57943679690361,0.2695068359375,0.0003,3.124297248572111,0.026466118,0.8373986482620239,0.2
630784,2966,77,777.04,405.36044372,212,1.1407207250595093,760,1.0744996070861816,-0.03548927346346318,-18.588586819171905,0.29705810546875,0.0003,3.2511681355535984,0.027533118,0.8411941528320312,0.2
638976,3001,78,777.51,407.76088280000005,212,1.1420212984085083,770,1.6335572004318237,-0.03222644410052453,-18.600202512741088,0.176806640625,0.0003,7.9921113952994345,0.014542429,0.8519117832183838,0.2
647168,3042,79,778.13,410.34112751,212,1.1464647054672241,780,1.92267644405365,-0.03492222590575693,-18.64010415673256,0.20859375,0.0003,5.735323904454708,0.018261228,0.87834233045578,0.2
655360,3084,80,793.47,421.21464911000004,212,1.1496660709381104,790,3.4546561241149902,-0.03550169771187939,-18.672893589735033,0.186572265625,0.0003,6.922209434956312,0.015313768,0.897749125957489,0.2
663552,3129,81,784.63,418.41685824000007,212,1.151032567024231,800,3.8200197219848633,-0.036237175757196385,-18.699977135658266,0.23472900390625,0.0003,7.269352708756924,0.020083554,0.8420240879058838,0.2
671744,3171,82,806.75,432.39009998999995,211,1.1532853841781616,810,3.329472780227661,-0.037537922896444795,-18.7160690844059,0.22530517578125,0.0003,7.336718833446502,0.01981146,0.870307207107544,0.2
679936,3214,83,800.73,431.08790331000006,211,1.1599184274673462,820,0.7724752426147461,-0.0384101910458412,-18.7867762029171,0.34296875,0.0003,4.11780344620347,0.035565462,0.8537787199020386,0.2
688128,3256,84,808.72,437.65108850999997,211,1.1623632907867432,830,4.710971832275391,-0.036069073034013854,-18.809621250629426,0.17432861328125,0.0003,8.494097634404898,0.015213899,0.8717559576034546,0.2
696320,3297,85,815.44,442.57536998999996,211,1.1692445278167725,840,1.3624145984649658,-0.041103107684466525,-18.8732702255249,0.4208740234375,0.0003,2.3912512019276617,0.045173693,0.05397230386734009,0.2
704512,3339,86,784.05,427.20250712000006,210,1.1749001741409302,850,0.5789235830307007,-0.04320998285693349,-18.94280174970627,0.3830322265625,0.0003,2.1435358855873345,0.03709607,0.7917927503585815,0.2
712704,3377,87,785.87,430.51234831,211,1.1781343221664429,860,3.081998825073242,-0.031877133222587874,-18.96322231888771,0.17879638671875,0.0003,9.248064678162336,0.012722713,0.872296929359436,0.2
720896,3393,88,779.33,429.37367851000005,212,1.1792429685592651,870,1.579972743988037,-0.03383867132797604,-18.990595477819443,0.15225830078125,0.0003,6.075837174057961,0.013463706,0.8832095265388489,0.2
729088,3410,89,775.92,427.90068372999997,213,1.182935118675232,880,1.5005491971969604,-0.032724161370424554,-19.018070298433305,0.15478515625,0.0003,6.814457943290472,0.013614114,0.9017792344093323,0.2
737280,3454,90,782.55,433.43979915999995,213,1.1854907274246216,890,2.8068318367004395,-0.0326485480836709,-19.048297250270842,0.21895751953125,0.0003,4.713044505566359,0.020118035,0.8632915616035461,0.2
745472,3484,91,774.76,430.78477705,213,1.1900089979171753,900,3.6312100887298584,-0.03267598953534616,-19.08176040649414,0.24979248046875,0.0003,5.817337908223271,0.024053058,0.8447364568710327,0.2
753664,3505,92,789.64,440.07908941999995,214,1.1889137029647827,910,1.8900914192199707,-0.032956612016278086,-19.095078390836715,0.18831787109375,0.0003,7.489306439459324,0.015983572,0.8076108694076538,0.2
761856,3549,93,775.89,434.4292980899999,214,1.195097804069519,920,0.7488059997558594,-0.039322005684516624,-19.135036677122116,0.43438720703125,0.0003,2.8497069515287876,0.045727886,0.789395809173584,0.2
770048,3588,94,754.72,423.65408956000005,214,1.1966224908828735,930,1.2051022052764893,-0.02949041984975338,-19.166846489906312,0.21082763671875,0.0003,4.328929714486003,0.017564185,0.8348097205162048,0.2
778240,3627,95,765.91,431.4745371,214,1.199449896812439,940,5.303777694702148,-0.02817025192634901,-19.183444130420686,0.14801025390625,0.0003,7.702948358654976,0.011527875,0.8281283974647522,0.2
786432,3664,96,778.1,440.78677387000005,214,1.2005434036254883,950,0.9345146417617798,-0.034718429793429095,-19.204814171791078,0.32413330078125,0.0003,4.8714498922228815,0.03377469,0.8053274154663086,0.2
794624,3704,97,778.7,441.78334518999986,214,1.2020387649536133,960,1.9403119087219238,-0.030149833351606502,-19.219191950559615,0.179345703125,0.0003,7.711990234255791,0.014035974,0.8536343574523926,0.2
802816,3748,98,746.71,424.5994887500001,214,1.206079125404358,970,2.7031564712524414,-0.03053555925289402,-19.247001618146896,0.1475830078125,0.0003,10.325094851851464,0.014363863,0.8429773449897766,0.2
811008,3788,99,754.15,429.77372584000005,214,1.207861304283142,980,3.5776138305664062,-0.032538203810690905,-19.273582220077515,0.159619140625,0.0003,11.602789627015591,0.013885252,0.8792260885238647,0.2
819200,3824,100,751.37,430.1927558000001,214,1.2091258764266968,990,2.1585655212402344,-0.03709077721505309,-19.285563892126085,0.19327392578125,0.0003,9.606915518641472,0.01696347,0.8528457880020142,0.2
827392,3860,101,772.26,444.71154974000007,214,1.21266508102417,1000,2.7060937881469727,-0.03279342677415116,-19.31349778175354,0.3181396484375,0.0003,6.599293613061309,0.030331936,0.8647499680519104,0.2
835584,3894,102,779.31,450.02857780000005,214,1.2158845663070679,1010,1.0844347476959229,-0.035701912733202334,-19.34531996846199,0.311279296875,0.0003,4.6616843335330485,0.02986208,0.7674786448478699,0.2
843776,3933,103,761.6,440.4570780300001,214,1.2204136848449707,1020,1.2860162258148193,-0.03327831353672082,-19.390279388427736,0.23909912109375,0.0003,5.353298074752092,0.022490714,0.8091527223587036,0.2
851968,3970,104,759.59,440.2654715599999,214,1.224872350692749,1030,0.6737844944000244,-0.03403655573238211,-19.44016228914261,0.26278076171875,0.0003,5.387856695428491,0.022033848,0.9078173041343689,0.2
860160,5730,105,756.71,439.08487377000006,150,1.2285724878311157,1040,5.912600040435791,-0.0335237984530977,-19.4698408305645,0.1961669921875,0.0003,10.61173635199666,0.015771177,0.9056972861289978,0.2
868352,5816,106,778.08,452.79135931,149,1.2342966794967651,1050,1.7355375289916992,-0.0358475975546753,-19.524237602949142,0.28387451171875,0.0003,5.667392447590828,0.025705151,0.7961797714233398,0.2
876544,5854,107,802.66,468.2133895900001,149,1.236546277999878,1060,1.6476181745529175,-0.037655862487736155,-19.561900144815446,0.25888671875,0.0003,5.699355092644692,0.023125496,0.8017765879631042,0.2
