time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,train/loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/value_loss,train/entropy_loss,train/learning_rate,train/std
376832,585.17,1116,337,46,237.83336004,2.222675085067749,0.2,0.8143565654754639,-0.043950336641137254,450,0.021550287,0.26468505859375,7.150707598775625,-17.652239668369294,0.0003,1.0543028116226196
385024,623.28,1128,341,47,257.65769005000004,1.790926218032837,0.2,0.8328595757484436,-0.04761285321656032,460,0.031196792,0.338037109375,4.307766987383365,-17.689182966947556,0.0003,1.0576465129852295
393216,640.54,1140,344,48,268.21154504,1.6720460653305054,0.2,0.8053040504455566,-0.04150875643681502,470,0.02458043,0.28936767578125,4.996563552320003,-17.724908673763274,0.0003,1.0607306957244873
401408,665.55,1153,348,49,282.73423284000006,2.2623095512390137,0.2,0.8453826308250427,-0.03990420734880899,480,0.020355381,0.240625,4.817207835614681,-17.751626282930374,0.0003,1.062520146369934
409600,695.77,1165,351,50,299.26723769,1.603365421295166,0.2,0.8428215980529785,-0.04290753689710982,490,0.029064527,0.3174560546875,3.916459960490465,-17.78135793209076,0.0003,1.0664297342300415
417792,736.36,1177,354,51,319.76906884000005,1.1589006185531616,0.2,0.7654672265052795,-0.039327285876788666,500,0.025128298,0.29432373046875,4.486592572554946,-17.805184030532835,0.0003,1.0683563947677612
425984,757.92,1189,357,52,332.56980254,1.8323651552200317,0.2,0.795421302318573,-0.043294429624802434,510,0.027874986,0.30704345703125,3.8799627095460893,-17.84534313082695,0.0003,1.0727277994155884
434176,785.06,1202,361,53,348.8719652800001,2.3855581283569336,0.2,0.7901686429977417,-0.035465398936139536,520,0.016542502,0.18690185546875,7.031070233881474,-17.866731226444244,0.0003,1.0728093385696411
442368,770.68,1214,364,54,346.82566589000004,1.8723734617233276,0.2,0.7804991602897644,-0.040064022307342385,530,0.021564687,0.2359619140625,5.088007882982493,-17.87543653845787,0.0003,1.0736346244812012
450560,780.28,1227,367,55,354.5612769,1.5223432779312134,0.2,0.8361395001411438,-0.03888116313028149,540,0.020325582,0.2351806640625,4.910854537039995,-17.897522085905074,0.0003,1.0773860216140747
458752,778.73,1239,370,56,356.68638381,0.8646612763404846,0.2,0.7380249500274658,-0.038107950317498765,550,0.029651873,0.27740478515625,4.44746959656477,-17.939253854751588,0.0003,1.081351399421692
466944,785.51,1251,373,57,361.83421761000005,1.1111412048339844,0.2,0.8356692790985107,-0.03920739931163553,560,0.022871498,0.2772705078125,3.149495232105255,-17.991408795118332,0.0003,1.0853205919265747
475136,792.2,1265,375,58,367.2707538399999,0.8666006326675415,0.2,0.8410294055938721,-0.03968358959100442,570,0.029689834,0.32955322265625,2.9234077002853156,-18.02360182404518,0.0003,1.0871461629867554
483328,780.03,1278,377,59,363.81543261999997,1.2311912775039673,0.2,0.8009381294250488,-0.033319056271284356,580,0.02055791,0.23209228515625,4.096598621830344,-18.054333865642548,0.0003,1.091483473777771
491520,799.15,1291,380,60,374.31798650999997,1.380281925201416,0.2,0.7963908910751343,-0.034882808386464605,590,0.018345673,0.21689453125,4.292812610045075,-18.090917259454727,0.0003,1.09419584274292
499712,779.45,1304,383,61,367.2046328599999,1.113348126411438,0.2,0.7217857837677002,-0.04150986745225964,600,0.035661362,0.3697509765625,2.2561358008533716,-18.114147847890855,0.0003,1.0960463285446167
507904,783.66,1316,385,62,370.3981090699999,2.2932229042053223,0.2,0.867987871170044,-0.033275494030385745,610,0.013594705,0.173779296875,6.6414914727211,-18.133456164598464,0.0003,1.098401665687561
516096,800.05,1329,388,63,380.3183846700001,0.8800960779190063,0.2,0.7327926158905029,-0.04091436075468664,620,0.023932306,0.25906982421875,3.6216229617595674,-18.162560153007508,0.0003,1.100130558013916
524288,804.11,1342,390,64,383.7566631700001,0.41052329540252686,0.2,0.6335570812225342,-0.042732260837510694,630,0.04114516,0.3875,1.6802578020840884,-18.213395369052886,0.0003,1.1057933568954468
532480,781.22,1355,392,65,374.86127935,1.0756720304489136,0.2,0.8410905599594116,-0.03576034396683099,640,0.018729037,0.22374267578125,3.3143043644726276,-18.25471380352974,0.0003,1.1095720529556274
540672,778.72,1368,395,66,375.19120321,1.2894893884658813,0.2,0.8692951202392578,-0.031104858900653197,650,0.012203725,0.1576416015625,6.541274721175432,-18.291107815504073,0.0003,1.1131151914596558
548864,764.21,1381,397,67,370.74136002000006,0.8302211761474609,0.2,0.7202938795089722,-0.030478525620128493,660,0.019694993,0.193359375,4.149893225729466,-18.32971755862236,0.0003,1.1165136098861694
557056,782.31,1394,399,68,382.2871472499999,1.3955427408218384,0.2,0.848824143409729,-0.03137194095470477,670,0.012985166,0.16387939453125,6.094117753207684,-18.348856854438782,0.0003,1.117830514907837
565248,775.39,1406,401,69,380.58069775999996,0.5388019680976868,0.2,0.2447604537010193,-0.05519313510740176,680,0.047519475,0.4395751953125,1.8264787804335356,-18.404716593027114,0.0003,1.1233645677566528
573440,766.1,1419,404,70,378.2493807700001,2.3670284748077393,0.2,0.8166776299476624,-0.030287357811903347,690,0.012710249,0.1586181640625,4.6395299345254895,-18.43663135766983,0.0003,1.1269882917404175
581632,775.8,1432,406,71,385.33472948,2.7500364780426025,0.2,0.8262897729873657,-0.032040981322643346,700,0.012840379,0.14652099609375,4.89853090569377,-18.472732758522035,0.0003,1.1301815509796143
589824,744.46,1445,407,72,372.90582949000003,1.442569375038147,0.2,0.8630055785179138,-0.031258701397746336,710,0.011898086,0.14044189453125,6.687522592395544,-18.49730575680733,0.0003,1.1320229768753052
